Papel,Cotação,EV/EBIT,ROIC,Liq.2meses,ranking_final
PSSA3,26.54,0.23,60.76,58655800.0,2.0
PETR4,32.62,2.46,28.95,1529110000.0,13.5
PETR3,35.5,2.61,28.95,417898000.0,14.5
WIZC3,6.04,2.25,24.18,4715600.0,19.0
KEPL3,11.24,4.99,43.61,15419400.0,21.0
UNIP6,79.47,5.0,38.68,16893700.0,23.0
FESA4,47.03,4.52,25.57,9573130.0,25.0
VLID3,17.32,4.22,20.64,5827020.0,29.0
CMIN3,4.35,4.9,28.49,26290400.0,29.0
VALE3,64.98,4.33,19.92,1787480000.0,34.0
